Match_Order,Game_Number,Team_Left,Team_Right,Winner_Match,Left_Bans,Left_Picks,Right_Bans,Right_Picks
9,1,ONIC,Geek Fam ID,ONIC,"Wanwan 2025, Helcurt 2024, Moskov 2023, Harith, Chou","Phoveus 2024, Joy, Zhuxin, Claude 2024, Gatotkaca","Cici, Pharsa, Fanny, Kalea, Irithel","Gloo 2025, Lancelot 2021, Kimmy 2025, Bruno 2023, Mathilda"
9,2,ONIC,Geek Fam ID,ONIC,"Helcurt 2024, Moskov 2023, Fanny, Angela 2024 v2, Suyou","Cici, Yi Sun-Shin, Zhuxin, Lunox, Chou","Wanwan 2025, Lancelot 2021, Joy, Claude 2024, Ruby","Uranus, Baxia, Pharsa, Harith, Estes"
10,1,Dewa United Esports,Natus Vincere,Dewa United Esports,"Phoveus 2024, Kalea, Zhuxin, Hylos, Bruno 2023","Arlott, Yi Sun-Shin, Lunox, Harith, Chou","Wanwan 2025, Cici, Baxia, Selena, Gatotkaca","Uranus, Lancelot 2021, Pharsa, Granger 2024, Hilda"
10,2,Dewa United Esports,Natus Vincere,Dewa United Esports,"Cici, Baxia, Wanwan 2025, Masha, Bruno 2023","Phoveus 2024, Fanny, Yve 2024, Harith, Gatotkaca","Arlott, Lancelot 2021, Kalea, Hilda, Chou","Edith, Yi Sun-Shin, Zhuxin, Moskov 2023, Hylos"
11,1,Geek Fam ID,Bigetron by Vitality,Bigetron by Vitality,"Wanwan 2025, Baxia, Lancelot 2021, Moskov 2023, Claude 2024","Benedetta, Fredrinn, Pharsa, Bruno 2023, Estes","Cici, Phoveus 2024, Fanny, Mathilda, Arlott","Chou, Yi Sun-Shin, Selena, Irithel, Hylos"
11,2,Geek Fam ID,Bigetron by Vitality,Bigetron by Vitality,"Wanwan 2025, Baxia, Yi Sun-Shin, Harith, Moskov 2023","Gloo 2025, Joy, Zhuxin, Granger 2024, Kalea","Cici, Phoveus 2024, Fanny, Uranus, Hilda","Badang, Lancelot 2021, Valentina, Bruno 2023, Hylos"
12,1,Alter Ego,EVOS,Alter Ego,"Fanny, Phoveus 2024, Baxia, Hilda, Granger 2024","Lapu-Lapu, Yi Sun-Shin, Yve 2024, Harith, Badang","Wanwan 2025, Gatotkaca, Cici, Ruby, Uranus","Esmeralda, Lancelot 2021, Zhuxin, Claude 2024, Gloo 2025"
12,2,Alter Ego,EVOS,Alter Ego,"Fanny, Baxia, Wanwan 2025, Uranus, Badang","Cici, Lancelot 2021, Pharsa, Kimmy 2025, Gatotkaca","Phoveus 2024, Zhuxin, Kalea, Harith, Kadita","Paquito, Yi Sun-Shin, Valentina, Ruby, Khufra"
12,3,Alter Ego,EVOS,Alter Ego,"Fanny, Phoveus 2024, Baxia, Esmeralda, Gloo 2025","Uranus, Yi Sun-Shin, Zhuxin, Claude 2024, Khaleed","Wanwan 2025, Gatotkaca, Cici, Kalea, Ruby","Arlott, Lancelot 2021, Pharsa, Harith, Hylos"
13,1,Team Liquid ID,Dewa United Esports,Dewa United Esports,"Kalea, Arlott, Fanny, Chou, Pharsa","Lapu-Lapu, Yi Sun-Shin, Zhuxin, Granger 2024, Gatotkaca","Wanwan 2025, Cici, Baxia, Gloo 2025, Esmeralda","Phoveus 2024, Lancelot 2021, Valentina, Harith, Hylos"
13,2,Team Liquid ID,Dewa United Esports,Dewa United Esports,"Wanwan 2025, Arlott, Cici, Chou, Fanny","Gloo 2025, Yi Sun-Shin, Valentina, Moskov 2023, Gatotkaca","Kalea, Phoveus 2024, Zhuxin, Yve 2024, Pharsa","Badang, Baxia, Kimmy 2025, Granger 2024, Franco"
13,3,Team Liquid ID,Dewa United Esports,Dewa United Esports,"Kalea, Arlott, Fanny, Gloo 2025, Lapu-Lapu","Phoveus 2024, Hayabusa 2021, Pharsa, Granger 2024, Badang","Wanwan 2025, Baxia, Cici, Mathilda, Hylos","Esmeralda, Yi Sun-Shin, Zhuxin, Harith, Gatotkaca"
14,1,Natus Vincere,Alter Ego,Natus Vincere,"Fanny, Uranus, Phoveus 2024, Yve 2024, Kimmy 2025","Lapu-Lapu, Lancelot 2021, Zhuxin, Harith, Khaleed","Wanwan 2025, Baxia, Kalea, Hilda, Arlott","Cici, Yi Sun-Shin, Valentina, Claude 2024, Gatotkaca"
14,2,Natus Vincere,Alter Ego,Natus Vincere,"Fanny, Uranus, Phoveus 2024, Granger 2024, Hilda","Arlott, Yi Sun-Shin, Zhuxin, Harith, Hylos","Wanwan 2025, Baxia, Kalea, Akai 2022, Khaleed","Cici, Lancelot 2021, Yve 2024, Claude 2024, Gatotkaca"
15,1,RRQ Hoshi,Team Liquid ID,RRQ Hoshi,"Baxia, Wanwan 2025, Kalea, Mathilda, Valentina","Uranus, Guinevere, Pharsa, Moskov 2023, Grock 2025","Lancelot 2021, Cici, Fanny, Chou, Gatotkaca","Lapu-Lapu, Fredrinn, Zhuxin, Granger 2024, Arlott"
15,2,RRQ Hoshi,Team Liquid ID,RRQ Hoshi,"Fanny, Baxia, Gatotkaca, Alpha 2021, Hanzo 2025","Esmeralda, Fredrinn, Yve 2024, Irithel, Kalea","Lancelot 2021, Wanwan 2025, Cici, Beatrix, Lapu-Lapu","Phoveus 2024, X.Borg 2023, Pharsa, Harith, Mathilda"
16,1,Bigetron by Vitality,EVOS,Bigetron by Vitality,"Cici, Phoveus 2024, Fanny, Franco, Mathilda","Uranus, Lancelot 2021, Pharsa, Moskov 2023, Hylos","Wanwan 2025, Gatotkaca, Zhuxin, Esmeralda, Harith","Lapu-Lapu, Baxia, Valentina, Claude 2024, Helcurt 2024"
16,2,Bigetron by Vitality,EVOS,Bigetron by Vitality,"Cici, Kalea, Zhuxin, Akai 2022","Arlott, Yi Sun-Shin, Pharsa, Chou, Hylos","Phoveus 2024, Fanny, Lancelot 2021, Harith, Irithel","Lapu-Lapu, Fredrinn, Kadita, Wanwan 2025, Gatotkaca"
16,3,Bigetron by Vitality,EVOS,Bigetron by Vitality,"Cici, Phoveus 2024, Kalea, Helcurt 2024, Hylos","Hilda, Yi Sun-Shin, Pharsa, Harith, Baxia","Wanwan 2025, Zhuxin, Gatotkaca, Esmeralda, Selena","Uranus, Lancelot 2021, Valentina, Claude 2024, Gloo 2025"
17,1,Natus Vincere,RRQ Hoshi,RRQ Hoshi,"Fanny, Uranus, Kalea, Baxia, Joy","Lapu-Lapu, Lancelot 2021, Kimmy 2025, Harith, Hylos","Wanwan 2025, Zhuxin, Yi Sun-Shin, Khaleed, Grock 2025","Cici, Hayabusa 2021, Pharsa, Moskov 2023, Gatotkaca"
17,2,Natus Vincere,RRQ Hoshi,RRQ Hoshi,"Fanny, Uranus, Kalea, Moskov 2023, Grock 2025","Cici, Joy, Selena, Granger 2024, Gatotkaca","Wanwan 2025, Zhuxin, Yi Sun-Shin, Fredrinn, Hayabusa 2021","Arlott, Lancelot 2021, Pharsa, Harith, Tigreal"
18,1,EVOS,Team Liquid ID,EVOS,"Uranus, Fanny, Phoveus 2024, Lapu-Lapu, Hilda","Cici, Yi Sun-Shin, Valentina, Granger 2024, Kalea","Wanwan 2025, Lancelot 2021, Zhuxin, Beatrix, Lunox","Paquito, Joy, Pharsa, Harith, Gatotkaca"
18,2,EVOS,Team Liquid ID,EVOS,"Wanwan 2025, Cici, Fanny, Esmeralda, Ruby","Lapu-Lapu, Hayabusa 2021, Pharsa, Harith, Baxia","Zhuxin, Uranus, Lancelot 2021, Franco, Helcurt 2024","Gloo 2025, Yi Sun-Shin, Selena, Claude 2024, Gatotkaca"
19,1,EVOS,Geek Fam ID,EVOS,"Helcurt 2024, Fanny, Pharsa, Esmeralda, Lapu-Lapu","Uranus, Hayabusa 2021, Yve 2024, Beatrix, Kalea","Wanwan 2025, Cici, Lancelot 2021, Granger 2024, Harith","Hilda, Baxia, Zhuxin, Moskov 2023, Hylos"
19,2,EVOS,Geek Fam ID,EVOS,"Helcurt 2024, Fanny, Uranus, Gloo 2025, Lapu-Lapu","Arlott, Yi Sun-Shin, Zhuxin, Granger 2024, Baxia","Wanwan 2025, Lancelot 2021, Cici, Harith, Esmeralda","Phoveus 2024, Joy, Pharsa, Sun 2024, Gatotkaca"
20,1,Bigetron by Vitality,Alter Ego,Bigetron by Vitality,"Cici, Zhuxin, Phoveus 2024, Ruby, Chou","Arlott, Lancelot 2021, Pharsa, Moskov 2023, Grock 2025","Fanny, Wanwan 2025, Baxia, Harith, Esmeralda","Uranus, Yi Sun-Shin, Kagura 2021, Hanabi 2022, Hilda"
20,2,Bigetron by Vitality,Alter Ego,Bigetron by Vitality,"Cici, Baxia, Zhuxin, Ruby, Lunox","Hilda, Lancelot 2021, Pharsa, Harith, Chou","Fanny, Phoveus 2024, Wanwan 2025, Uranus, Kagura 2021","Arlott, Yi Sun-Shin, Luo Yi, Granger 2024, Hylos"
20,3,Bigetron by Vitality,Alter Ego,Bigetron by Vitality,"Cici, Phoveus 2024, Arlott, Hylos, Harith","Chou, Joy, Zhuxin, Claude 2024, Gatotkaca","Fanny, Wanwan 2025, Baxia, Esmeralda, Benedetta","Uranus, Lancelot 2021, Yve 2024, Granger 2024, Grock 2025"
21,1,RRQ Hoshi,ONIC,ONIC,"Cici, Kalea, Wanwan 2025, Badang, Valentina","Uranus, Fanny, Pharsa, Natan, Grock 2025","Baxia, Hayabusa 2021, Fredrinn, Granger 2024, Moskov 2023","Arlott, Lancelot 2021, Zhuxin, Harith, Hylos"
21,2,RRQ Hoshi,ONIC,ONIC,"Cici, Arlott, Lancelot 2021, Faramis 2022, Lapu-Lapu","Gloo 2025, Hayabusa 2021, Yve 2024, Moskov 2023, Kalea","Wanwan 2025, Fredrinn, Baxia, Uranus, Esmeralda","Phoveus 2024, Yi Sun-Shin, Pharsa, Harith, Gatotkaca"
22,1,Dewa United Esports,Bigetron by Vitality,Bigetron by Vitality,"Wanwan 2025, Moskov 2023, Zhuxin, Bruno 2023, Valentina","Lapu-Lapu, Fanny, Selena, Harith, Gatotkaca","Cici, Arlott, Baxia, Hylos, Hilda","Phoveus 2024, Lancelot 2021, Pharsa, Granger 2024, Grock 2025"
22,2,Dewa United Esports,Bigetron by Vitality,Bigetron by Vitality,"Wanwan 2025, Lancelot 2021, Yi Sun-Shin, Grock 2025, Gatotkaca","Terizla, Hayabusa 2021, Pharsa, Beatrix, Kalea","Cici, Arlott, Fanny, Uranus, Hilda","Lapu-Lapu, Joy, Selena, Moskov 2023, Baxia"
22,3,Dewa United Esports,Bigetron by Vitality,Bigetron by Vitality,"Wanwan 2025, Lancelot 2021, Grock 2025, Gatotkaca, Chou","Terizla, Baxia, Pharsa, Beatrix, Kalea","Cici, Arlott, Fanny, Hayabusa 2021, Uranus","Phoveus 2024, Yi Sun-Shin, Zhuxin, Granger 2024, Hylos"
23,1,Alter Ego,ONIC,ONIC,"Fanny, Wanwan 2025, Chou, Grock 2025, Lunox","Arlott, Baxia, Selena, Harith, Gatotkaca","Zhuxin, Uranus, Yi Sun-Shin, Chip, Hilda","Cici, Lancelot 2021, Yve 2024, Granger 2024, Hylos"
23,2,Alter Ego,ONIC,ONIC,"Fanny, Wanwan 2025, Joy, Pharsa, Yve 2024","Uranus, Yi Sun-Shin, Zhuxin, Bruno 2023, Badang","Baxia, Arlott, Selena, Hilda, Hylos","Cici, Hayabusa 2021, Luo Yi, Harith, Gatotkaca"
23,3,Alter Ego,ONIC,ONIC,"Fanny, Wanwan 2025, Pharsa, Hylos, Uranus","Cici, Yi Sun-Shin, Luo Yi, Claude 2024, Gatotkaca","Baxia, Selena, Arlott, Lunox, Granger 2024","Phoveus 2024, Lancelot 2021, Zhuxin, Harith, Khaleed"
24,1,Team Liquid ID,Natus Vincere,Natus Vincere,"Lancelot 2021, Cici, Fanny, Esmeralda, Lapu-Lapu","Uranus, Yi Sun-Shin, Wu Zetian, Harith, Grock 2025","Wanwan 2025, Baxia, Zhuxin, Kagura 2021, Valentina","Phoveus 2024, Hayabusa 2021, Pharsa, Granger 2024, Kalea"
24,2,Team Liquid ID,Natus Vincere,Natus Vincere,"Lancelot 2021, Cici, Fanny, Hayabusa 2021, Joy","Uranus, Yi Sun-Shin, Kagura 2021, Karrie, Kaja","Wanwan 2025, Baxia, Zhuxin, Gatotkaca, Hylos","Esmeralda, Fredrinn, Pharsa, Granger 2024, Kalea"
25,1,Natus Vincere,ONIC,ONIC,"Wanwan 2025, Lancelot 2021, Fanny, Gatotkaca, Hylos","Cici, Fredrinn, Pharsa, Granger 2024, Kalea","Baxia, Harith, Phoveus 2024, Beatrix, Joy","Arlott, Yi Sun-Shin, Zhuxin, Claude 2024, Grock 2025"
25,2,Natus Vincere,ONIC,ONIC,"Fanny, Phoveus 2024, Harith, Kalea, Grock 2025","Arlott, Hayabusa 2021, Zhuxin, Bruno 2023, Khaleed","Wanwan 2025, Baxia, Fredrinn, Hylos, Esmeralda","Lapu-Lapu, Lancelot 2021, Pharsa, Granger 2024, Gatotkaca"
25,3,Natus Vincere,ONIC,ONIC,"Fanny, Wanwan 2025, Zhuxin, Luo Yi, Beatrix","Arlott, Yi Sun-Shin, Pharsa, Ruby, Gatotkaca","Baxia, Harith, Hayabusa 2021, Fredrinn, Joy","Cici, Lancelot 2021, Kagura 2021, Granger 2024, Kalea"
26,1,EVOS,Dewa United Esports,EVOS,"Arlott, Fanny, Phoveus 2024, Gatotkaca, Lunox","Uranus, Hayabusa 2021, Pharsa, Claude 2024, Chip","Baxia, Wanwan 2025, Yi Sun-Shin, Harith, Grock 2025","Cici, Joy, Kagura 2021, Granger 2024, Kalea"
26,2,EVOS,Dewa United Esports,EVOS,"Wanwan 2025, Arlott, Fanny, Phoveus 2024, Esmeralda","Uranus, Lancelot 2021, Zhuxin, Granger 2024, Gatotkaca","Yi Sun-Shin, Hayabusa 2021, Cici, Chip, Grock 2025","Ruby, Baxia, Kimmy 2025, Bruno 2023, Franco"
27,1,Team Liquid ID,Bigetron by Vitality,Bigetron by Vitality,"Fanny, Lancelot 2021, Yi Sun-Shin, Hayabusa 2021, Valentina","Lapu-Lapu, Fredrinn, Kimmy 2025, Harith, Kalea","Wanwan 2025, Zhuxin, Baxia, Joy, Pharsa","Cici, Guinevere, Kagura 2021, Granger 2024, Gatotkaca"
27,2,Team Liquid ID,Bigetron by Vitality,Bigetron by Vitality,"Lancelot 2021, Yi Sun-Shin, Wanwan 2025, Franco, Selena","Arlott, Fredrinn, Pharsa, Granger 2024, Kalea","Cici, Zhuxin, Fanny, Joy, Uranus","Lapu-Lapu, Baxia, Kagura 2021, Harith, Badang"
28,1,RRQ Hoshi,EVOS,RRQ Hoshi,"Baxia, Wanwan 2025, Uranus, Hylos, Kalea","Lapu-Lapu, Yi Sun-Shin, Selena, Granger 2024, Gatotkaca","Harith, Arlott, Pharsa, Esmeralda, Phoveus 2024","Cici, Lancelot 2021, Zhuxin, Claude 2024, Chip"
28,2,RRQ Hoshi,EVOS,RRQ Hoshi,"Baxia, Wanwan 2025, Uranus, Fanny, Beatrix","Phoveus 2024, Hayabusa 2021, Selena, Granger 2024, Gatotkaca","Harith, Arlott, Yi Sun-Shin, Esmeralda, Lapu-Lapu","Cici, Lancelot 2021, Zhuxin, Claude 2024, Kalea"
29,1,Geek Fam ID,Alter Ego,Alter Ego,"Lancelot 2021, Baxia, Kimmy 2025, Arlott, Pharsa","Uranus, Fanny, Kimmy 2025, Bruno 2023, Grock 2025","Helcurt 2024, Phoveus 2024, Gloo 2025, Granger 2024, Gatotkaca","Ruby, Yi Sun-Shin, Kagura 2021, Harith, Kalea"
29,2,Geek Fam ID,Alter Ego,Alter Ego,"Arlott, Uranus, Fanny, Khaleed, Ruby","Cici, Lancelot 2021, Valentina, Bruno 2023, Gatotkaca","Helcurt 2024, Wanwan 2025, Baxia, Granger 2024, Kimmy 2025","Phoveus 2024, Yi Sun-Shin, Zhuxin, Harith, Badang"
30,1,ONIC,Team Liquid ID,ONIC,"Wanwan 2025, Baxia, Fredrinn, Khaleed, Chip","Lapu-Lapu, Hayabusa 2021, Luo Yi, Harith, Hylos","Fanny, Lancelot 2021, Yi Sun-Shin, Cici, Grock 2025","Phoveus 2024, Guinevere, Zhuxin, Moskov 2023, Chou"
30,2,ONIC,Team Liquid ID,ONIC,"Baxia, Fredrinn, Fanny, Harith, Moskov 2023","Cici, Guinevere, Zhuxin, Wanwan 2025, Hylos","Yi Sun-Shin, Lancelot 2021, Kalea, Kagura 2021, Grock 2025","Phoveus 2024, Hayabusa 2021, Pharsa, Granger 2024, Gatotkaca"
31,1,Bigetron by Vitality,RRQ Hoshi,Bigetron by Vitality,"Wanwan 2025, Uranus, Baxia, Hylos, Grock 2025","Cici, Lancelot 2021, Kagura 2021, Karrie, Gatotkaca","Fanny, Harith, Zhuxin, Lapu-Lapu, Granger 2024","Arlott, Yi Sun-Shin, Selena, Moskov 2023, Badang"
