Match_Order,Game_Number,Team_Left,Team_Right,Winner_Match,Left_Bans,Left_Picks,Right_Bans,Right_Picks
35,1,Dewa United Esports,RRQ Hoshi,Dewa United Esports,"Phoveus 2024, Chip, Wanwan 2025, Yve 2024, Harith","Uranus, Yi Sun-Shin, Zhuxin, Ruby, Chou","Angela 2024 v2, Baxia, Fanny, Lapu-Lapu, Hilda","Arlott, Lancelot 2021, Cecilion, Kimmy 2025, Khaleed"
35,2,Dewa United Esports,RRQ Hoshi,Dewa United Esports,"Wanwan 2025, Yi Sun-Shin, Chip, Harith, Bruno 2023","Arlott, Fredrinn, Lunox, Claude 2024, Kalea","Zhuxin, Uranus, Baxia, Beatrix, Karrie","Cici, Thamuz 2025, Angela 2024 v2, Granger 2024, Gatotkaca"
36,1,Alter Ego,Team Liquid ID,Alter Ego,"Chip, Phoveus 2024, Angela 2024 v2, Mathilda, Kimmy 2025","Ruby, Lancelot 2021, Zhuxin, Granger 2024, Gatotkaca","Wanwan 2025, Baxia, Fanny, Esmeralda, Arlott","Uranus, Yi Sun-Shin, Yve 2024, Harith, Kalea"
36,2,Alter Ego,Team Liquid ID,Alter Ego,"Wanwan 2025, Baxia, Chip, Khaleed, Chou","Cici, Hayabusa 2021, Valentina, Harith, Kalea","Lancelot 2021, Phoveus 2024, Fanny, Uranus, Granger 2024","Esmeralda, Yi Sun-Shin, Angela 2024 v2, Lunox, Hilda"
36,3,Alter Ego,Team Liquid ID,Alter Ego,"Chip, Angela 2024 v2, Phoveus 2024, Chou, Grock 2025","Arlott, Baxia, Kagura 2021, Granger 2024, Kaja","Wanwan 2025, Fanny, Lancelot 2021, Franco, Ruby","Uranus, Yi Sun-Shin, Zhuxin, Harith, Gatotkaca"
37,1,EVOS,Bigetron by Vitality,Bigetron by Vitality,"Fanny, Lancelot 2021, Arlott, Harith, Zhuxin","Cici, Joy, Angela 2024 v2, Claude 2024, Hylos","Baxia, Wanwan 2025, Chip, Khaleed, Chou","Uranus, Yi Sun-Shin, Kimmy 2025, Bane 2021, Hilda"
37,2,EVOS,Bigetron by Vitality,Bigetron by Vitality,"Wanwan 2025, Yi Sun-Shin, Fanny, Lancelot 2021, Joy","Esmeralda, Hayabusa 2021, Pharsa, Granger 2024, Gatotkaca","Angela 2024 v2, Baxia, Chip, Harith, Kalea","Uranus, Ling 2024, Zhuxin, Chou, Hilda"
38,1,Alter Ego,Natus Vincere,Alter Ego,"Chip, Esmeralda, Wanwan 2025, Granger 2024, Lunox","Phoveus 2024, Lancelot 2021, Zhuxin, Harith, Hilda","Baxia, Fanny, Uranus, Arlott, Kalea","Cici, Yi Sun-Shin, Angela 2024 v2, Ruby, Grock 2025"
38,2,Alter Ego,Natus Vincere,Alter Ego,"Chip, Esmeralda, Wanwan 2025, Edith, Khaleed","Phoveus 2024, Lancelot 2021, Yve 2024, Granger 2024, Mathilda","Baxia, Fanny, Uranus, Hilda, Kimmy 2025","Lapu-Lapu, Yi Sun-Shin, Zhuxin, Harith, Chou"
38,3,Alter Ego,Natus Vincere,Alter Ego,"Chip, Esmeralda, Wanwan 2025, Lapu-Lapu, Gloo 2025","Phoveus 2024, Yi Sun-Shin, Zhuxin, Granger 2024, Hylos","Baxia, Fanny, Uranus, Hilda, Lunox","Cici, Lancelot 2021, Kimmy 2025, Harith, Khaleed"
39,1,Geek Fam ID,ONIC,ONIC,"Cici, Phoveus 2024, Fanny, Khaleed, Chou","Uranus, Hayabusa 2021, Zhuxin, Wanwan 2025, Badang","Helcurt 2024, Chip, Baxia, Franco, Mathilda","Arlott, Lancelot 2021, Angela 2024 v2, Harith, Hylos"
39,2,Geek Fam ID,ONIC,ONIC,"Cici, Phoveus 2024, Fanny, Khaleed, Lancelot 2021","Uranus, Yi Sun-Shin, Zhuxin, Wanwan 2025, Kalea","Helcurt 2024, Chip, Baxia, Franco, Mathilda","Arlott, Hayabusa 2021, Angela 2024 v2, Harith, Gatotkaca"
40,1,Dewa United Esports,Team Liquid ID,Dewa United Esports,"Phoveus 2024, Chip, Fanny, Hilda, Claude 2024","Terizla, Yi Sun-Shin, Lunox, Ruby, Kalea","Wanwan 2025, Baxia, Lancelot 2021, Harith, Arlott","Esmeralda, Joy, Angela 2024 v2, Granger 2024, Khaleed"
40,2,Dewa United Esports,Team Liquid ID,Dewa United Esports,"Yi Sun-Shin, Wanwan 2025, Chip, Cici, Uranus","Arlott, Baxia, Kadita, Moskov 2023, Kaja","Lancelot 2021, Kalea, Phoveus 2024, Franco, Lunox","Hilda, Fanny, Angela 2024 v2, Harith, Chou"
41,1,Natus Vincere,Dewa United Esports,Dewa United Esports,"Arlott, Kalea, Baxia, Fredrinn, Fanny","Esmeralda, Yi Sun-Shin, Selena, Chou, Mathilda","Wanwan 2025, Zhuxin, Cici, Ruby, Kimmy 2025","Phoveus 2024, Lancelot 2021, Lunox, Obsidia, Chip"
41,2,Natus Vincere,Dewa United Esports,Dewa United Esports,"Baxia, Yi Sun-Shin, Kalea, Lunox, Harith","Uranus, Fanny, Kimmy 2025, Granger 2024, Minotaur 2021","Zhuxin, Wanwan 2025, Cici, Grock 2025, Gatotkaca","Arlott, Fredrinn, Odette 2021, Obsidia, Chip"
42,1,Alter Ego,Geek Fam ID,Alter Ego,"Helcurt 2024, Chip, Wanwan 2025, Hilda, Chou","Uranus, Yi Sun-Shin, Zhuxin, Granger 2024, Grock 2025","Baxia, Arlott, Fanny, Khaleed, Mathilda","Phoveus 2024, Lancelot 2021, Angela 2024 v2, Harith, Hylos"
42,2,Alter Ego,Geek Fam ID,Alter Ego,"Helcurt 2024, Chip, Baxia, Pharsa, Valentina","Uranus, Lukas, Kimmy 2025, Brody 2024, Mathilda","Zhuxin, Arlott, Kalea, Yi Sun-Shin, Lancelot 2021","Phoveus 2024, Fanny, Lunox, Harith, Khaleed"
43,1,EVOS,Alter Ego,Alter Ego,"Phoveus 2024, Fanny, Arlott, Lapu-Lapu, Esmeralda","Uranus, Yi Sun-Shin, Zhuxin, Cici, Kalea","Chip, Baxia, Wanwan 2025, Grock 2025, Gatotkaca","Chou, Lancelot 2021, Lunox, Bruno 2023, Hylos"
43,2,EVOS,Alter Ego,Alter Ego,"Phoveus 2024, Baxia, Arlott, Gatotkaca, Khaleed","Uranus, Lancelot 2021, Yve 2024, Lunox, Kalea","Chip, Wanwan 2025, Fanny, Harith, Hilda","Cici, Yi Sun-Shin, Zhuxin, Granger 2024, Grock 2025"
43,3,EVOS,Alter Ego,Alter Ego,"Fanny, Phoveus 2024, Arlott, Gatotkaca, Yve 2024","Dyrroth 2025, Lancelot 2021, Zhuxin, Claude 2024, Khaleed","Chip, Wanwan 2025, Baxia, Lunox, Granger 2024","Uranus, Yi Sun-Shin, Kimmy 2025, Harith, Franco"
44,1,Team Liquid ID,ONIC,ONIC,"Cici, Wanwan 2025, Arlott, Granger 2024, Chou","Hylos, Yi Sun-Shin, Zhuxin, Lunox, Kaja","Baxia, Chip, Fanny, Gatotkaca, Uranus","Esmeralda, Lancelot 2021, Angela 2024 v2, Beatrix, Kalea"
44,2,Team Liquid ID,ONIC,ONIC,"Wanwan 2025, Cici, Lancelot 2021, Franco, Kaja","Arlott, Joy, Angela 2024 v2, Freya, Hilda","Chip, Zhuxin, Esmeralda, Kalea, Moskov 2023","Phoveus 2024, Baxia, Kimmy 2025, Harith, Chou"
45,1,RRQ Hoshi,Bigetron by Vitality,Bigetron by Vitality,"Uranus, Wanwan 2025, Zhuxin, Gatotkaca, Karrie","Phoveus 2024, Baxia, Kimmy 2025, Bruno 2023, Franco","Chip, Kalea, Yi Sun-Shin, Beatrix, Harith","Terizla, Joy, Angela 2024 v2, Cici, Khaleed"
45,2,RRQ Hoshi,Bigetron by Vitality,Bigetron by Vitality,"Uranus, Angela 2024 v2, Zhuxin, Kagura 2021, Harith","Arlott, Joy, Pharsa, Obsidia, Jawhead","Chip, Kalea, Yi Sun-Shin, Wanwan 2025, Beatrix","Hilda, Hayabusa 2021, Novaria, Cici, Badang"
45,3,RRQ Hoshi,Bigetron by Vitality,Bigetron by Vitality,"Uranus, Angela 2024 v2, Zhuxin, Harith, Kagura 2021","Arlott, Joy, Pharsa, Karrie, Hilda","Chip, Yi Sun-Shin, Kalea, Jawhead, Obsidia","Phoveus 2024, Hayabusa 2021, Novaria, Cici, Gatotkaca"
46,1,Natus Vincere,Team Liquid ID,Natus Vincere,"Kalea, Fanny, Phoveus 2024, Kimmy 2025, Cici","Esmeralda, Fredrinn, Zhuxin, Granger 2024, Arlott","Baxia, Lancelot 2021, Angela 2024 v2, Wanwan 2025, Mathilda","Lapu-Lapu, Yi Sun-Shin, Yve 2024, Harith, Chip"
46,2,Natus Vincere,Team Liquid ID,Natus Vincere,"Baxia, Fanny, Chip, Hilda, Hylos","Lukas, Yi Sun-Shin, Zhuxin, Cici, Chou","Lancelot 2021, Phoveus 2024, Arlott, Grock 2025, Kalea","Ruby, Joy, Angela 2024 v2, Granger 2024, Khaleed"
46,3,Natus Vincere,Team Liquid ID,Natus Vincere,"Kalea, Phoveus 2024, Fanny, Hylos, Gatotkaca","Lapu-Lapu, Joy, Angela 2024 v2, Obsidia, Khaleed","Baxia, Lancelot 2021, Chip, Cici, Granger 2024","Arlott, Yi Sun-Shin, Zhuxin, Harith, Hilda"
47,1,ONIC,RRQ Hoshi,ONIC,"Chip, Yi Sun-Shin, Selena, Wanwan 2025, Granger 2024","Lapu-Lapu, Baxia, Kimmy 2025, Harith, Chou","Angela 2024 v2, Lancelot 2021, Arlott, Yve 2024, Novaria","Cici, Fredrinn, Zhuxin, Claude 2024, Jawhead"
47,2,ONIC,RRQ Hoshi,ONIC,"Chip, Selena, Phoveus 2024, Esmeralda, Lapu-Lapu","Arlott, Hayabusa 2021, Zhuxin, Granger 2024, Gatotkaca","Angela 2024 v2, Lancelot 2021, Baxia, Harith, Grock 2025","Hilda, Yi Sun-Shin, Kimmy 2025, Bane 2021, Kalea"
48,1,Geek Fam ID,EVOS,EVOS,"Uranus, Cici, Lancelot 2021, Yve 2024, Hayabusa 2021","Lapu-Lapu, Fredrinn, Novaria, Obsidia, Zhuxin","Helcurt 2024, Fanny, Wanwan 2025, Claude 2024, Harith","Arlott, Yi Sun-Shin, Kimmy 2025, Granger 2024, Chip"
48,2,Geek Fam ID,EVOS,EVOS,"Uranus, Baxia, Lancelot 2021, Hayabusa 2021, Yi Sun-Shin","Arlott, Fredrinn, Kimmy 2025, Granger 2024, Novaria","Helcurt 2024, Fanny, Chip, Irithel, Mathilda","Cici, Guinevere, Zhuxin, Wanwan 2025, Kalea"
49,1,Geek Fam ID,Dewa United Esports,Geek Fam ID,"Arlott, Fanny, Wanwan 2025, Gatotkaca, Phoveus 2024","Cici, Lancelot 2021, Kimmy 2025, Granger 2024, Kalea","Baxia, Chip, Helcurt 2024, Hayabusa 2021, Joy","Terizla, Yi Sun-Shin, Zhuxin, Ruby, Grock 2025"
49,2,Geek Fam ID,Dewa United Esports,Geek Fam ID,"Arlott, Baxia, Fanny, Fredrinn, Hayabusa 2021","Esmeralda, Yi Sun-Shin, Luo Yi, Granger 2024, Kalea","Cici, Chip, Helcurt 2024, Lunox, Zhuxin","Uranus, Lancelot 2021, Kimmy 2025, Obsidia, Grock 2025"
50,1,Bigetron by Vitality,Team Liquid ID,Team Liquid ID,"Fanny, Zhuxin, Wanwan 2025, Arlott, Gloo 2025","Esmeralda, Joy, Angela 2024 v2, Moskov 2023, Gatotkaca","Baxia, Cici, Hilda, Badang, Grock 2025","Uranus, Yi Sun-Shin, Lunox, Ruby, Kalea"
50,2,Bigetron by Vitality,Team Liquid ID,Team Liquid ID,"Kalea, Yi Sun-Shin, Fanny, Chip, Ruby","Phoveus 2024, Joy, Angela 2024 v2, Clint 2020 v2, Khaleed","Baxia, Cici, Hilda, Wanwan 2025, Granger 2024","Arlott, Fredrinn, Kimmy 2025, Lapu-Lapu, Gatotkaca"
51,1,Dewa United Esports,Alter Ego,Dewa United Esports,"Cici, Yi Sun-Shin, Fanny, Grock 2025, Granger 2024","Alice 2025, Fredrinn, Zhuxin, Claude 2024, Helcurt 2024","Chip, Arlott, Baxia, Lapu-Lapu, Phoveus 2024","Uranus, Hayabusa 2021, Kimmy 2025, Harith, Hylos"
51,2,Dewa United Esports,Alter Ego,Dewa United Esports,"Cici, Yi Sun-Shin, Baxia, Yve 2024, Granger 2024","Hilda, Fredrinn, Zhuxin, Wanwan 2025, Helcurt 2024","Phoveus 2024, Chip, Alice 2025, Esmeralda, Uranus","Arlott, Lancelot 2021, Kagura 2021, Harith, Kalea"
52,1,EVOS,RRQ Hoshi,EVOS,"Selena, Phoveus 2024, Fanny, Kimmy 2025, Zhuxin","Arlott, Lancelot 2021, Nana, Granger 2024, Kalea","Uranus, Baxia, Angela 2024 v2, Harith, Pharsa","Lapu-Lapu, Yi Sun-Shin, Luo Yi, Cici, Chip"
52,2,EVOS,RRQ Hoshi,EVOS,"Selena, Phoveus 2024, Chip, Grock 2025, Harith","Cici, Joy, Zhuxin, Granger 2024, Gatotkaca","Uranus, Baxia, Angela 2024 v2, Fanny, Fredrinn","Lapu-Lapu, Yi Sun-Shin, Yve 2024, Ruby, Hylos"
52,3,EVOS,RRQ Hoshi,EVOS,"Selena, Phoveus 2024, Chip, Guinevere, Fredrinn","Gloo 2025, Yi Sun-Shin, Kimmy 2025, Cici, Kalea","Uranus, Baxia, Angela 2024 v2, Granger 2024, Valentina","Arlott, Hayabusa 2021, Zhuxin, Natan, Grock 2025"
53,1,ONIC,Natus Vincere,ONIC,"Kalea, Phoveus 2024, Zhuxin, Hayabusa 2021, Fredrinn","Yu Zhong 2024, Yi Sun-Shin, Angela 2024 v2, Harith, Gatotkaca","Baxia, Cici, Fanny, Khaleed, Hylos","Alice 2025, Guinevere, Lunox, Granger 2024, Chip"
53,2,ONIC,Natus Vincere,ONIC,"Kalea, Phoveus 2024, Kimmy 2025, Selena, Mathilda","Yu Zhong 2024, Lancelot 2021, Zhuxin, Beatrix, Kaja","Baxia, Angela 2024 v2, Fanny, Granger 2024, Lunox","Arlott, Fredrinn, Cecilion, Harith, Grock 2025"
54,1,RRQ Hoshi,Geek Fam ID,Geek Fam ID,"Helcurt 2024, Kalea, Fanny, Khaleed, Granger 2024","Uranus, Lancelot 2021, Zhuxin, Wanwan 2025, Chou","Selena, Baxia, Chip, Franco, Harith","Esmeralda, Yi Sun-Shin, Kimmy 2025, Cici, Ruby"
54,2,RRQ Hoshi,Geek Fam ID,Geek Fam ID,"Helcurt 2024, Kalea, Yi Sun-Shin, Zhuxin, Kimmy 2025","Arlott, Lancelot 2021, Luo Yi, Obsidia, Hilda","Selena, Chip, Baxia, Fredrinn, Akai 2022","Phoveus 2024, Fanny, Pharsa, Granger 2024, Grock 2025"
55,1,Natus Vincere,Bigetron by Vitality,Bigetron by Vitality,"Fanny, Cici, Chip, Chou, Ruby","Lapu-Lapu, Hayabusa 2021, Kimmy 2025, Granger 2024, Kalea","Baxia, Wanwan 2025, Arlott, Beatrix, Esmeralda","Hilda, Yi Sun-Shin, Zhuxin, Bane 2021, Gatotkaca"
55,2,Natus Vincere,Bigetron by Vitality,Bigetron by Vitality,"Baxia, Cici, Fanny, Hilda, Khaleed","Alice 2025, Yi Sun-Shin, Pharsa, Granger 2024, Chip","Arlott, Angela 2024 v2, Kimmy 2025, Lunox, Luo Yi","Phoveus 2024, Lancelot 2021, Zhuxin, Wanwan 2025, Kalea"
56,1,Team Liquid ID,EVOS,EVOS,"Lancelot 2021, Uranus, Baxia, Lunox, Pharsa","Arlott, Joy, Angela 2024 v2, Wanwan 2025, Gatotkaca","Fanny, Phoveus 2024, Chip, Lapu-Lapu, Hilda","Cici, Yi Sun-Shin, Nana, Harith, Kalea"
56,2,Team Liquid ID,EVOS,EVOS,"Lancelot 2021, Uranus, Baxia, Hayabusa 2021, Granger 2024","Alice 2025, Yi Sun-Shin, Yve 2024, Minsitthar 2023, Gatotkaca","Fanny, Angela 2024 v2, Chip, Phoveus 2024, Harith","Cici, Joy, Zhuxin, Wanwan 2025, Kalea"
56,3,Team Liquid ID,EVOS,EVOS,"Lancelot 2021, Baxia, Cici, Zhuxin, Nana","Arlott, Fredrinn, Kimmy 2025, Granger 2024, Hilda","Fanny, Angela 2024 v2, Chip, Wanwan 2025, Gatotkaca","Uranus, Yi Sun-Shin, Yve 2024, Obsidia, Kalea"
57,1,Team Liquid ID,Alter Ego,Team Liquid ID,"Uranus, Fanny, Baxia, Grock 2025, Franco","Arlott, Fredrinn, Zhuxin, Claude 2024, Gatotkaca","Chip, Angela 2024 v2, Yi Sun-Shin, Helcurt 2024, Hilda","Alice 2025, Hayabusa 2021, Kimmy 2025, Cici, Kalea"
57,2,Team Liquid ID,Alter Ego,Team Liquid ID,"Baxia, Zhuxin, Chip, Franco, Grock 2025","Badang, Yi Sun-Shin, Pharsa, Cici, Gatotkaca","Angela 2024 v2, Fredrinn, Kalea, Ruby, Arlott","Uranus, Fanny, Kimmy 2025, Brody 2024, Helcurt 2024"
57,3,Team Liquid ID,Alter Ego,Team Liquid ID,"Fanny, Uranus, Lancelot 2021, Yve 2024, Kagura 2021","Lapu-Lapu, Baxia, Kimmy 2025, Granger 2024, Kalea","Chip, Zhuxin, Angela 2024 v2, Arlott, Beatrix","Terizla, Yi Sun-Shin, Novaria, Cici, Grock 2025"
58,1,Bigetron by Vitality,Dewa United Esports,Bigetron by Vitality,"Helcurt 2024, Arlott, Kalea, Lunox, Kadita","Alice 2025, Fanny, Zhuxin, Bruno 2023, Gatotkaca","Cici, Wanwan 2025, Yi Sun-Shin, Granger 2024, Grock 2025","Phoveus 2024, Fredrinn, Kimmy 2025, Moskov 2023, Franco"
58,2,Bigetron by Vitality,Dewa United Esports,Bigetron by Vitality,"Helcurt 2024, Arlott, Baxia, Grock 2025, Gatotkaca","Uranus, Yi Sun-Shin, Lunox, Ruby, Kalea","Cici, Wanwan 2025, Fanny, Esmeralda, Hilda","Zhuxin, Lancelot 2021, Odette 2021, Lapu-Lapu, Chip"
59,1,Geek Fam ID,Team Liquid ID,Team Liquid ID,"Angela 2024 v2, Fanny, Arlott, Lunox, Granger 2024","Esmeralda, Yi Sun-Shin, Kimmy 2025, Cici, Hylos","Helcurt 2024, Baxia, Chip, Gatotkaca, Badang","Uranus, Joy, Zhuxin, Beatrix, Kalea"
59,2,Geek Fam ID,Team Liquid ID,Team Liquid ID,"Baxia, Angela 2024 v2, Arlott, Zhuxin, Pharsa","Cici, Joy, Kimmy 2025, Granger 2024, Grock 2025","Helcurt 2024, Chip, Fanny, Gatotkaca, Badang","Uranus, Yi Sun-Shin, Yve 2024, Harith, Kalea"
59,3,Geek Fam ID,Team Liquid ID,Team Liquid ID,"Angela 2024 v2, Fanny, Arlott, Gatotkaca, Harith","Lapu-Lapu, Joy, Kimmy 2025, Bruno 2023, Kalea","Helcurt 2024, Baxia, Chip, Granger 2024, Wanwan 2025","Uranus, Yi Sun-Shin, Zhuxin, Cici, Khaleed"
60,1,Alter Ego,RRQ Hoshi,Alter Ego,"Selena, Phoveus 2024, Chip, Gatotkaca, Yve 2024","Arlott, Baxia, Zhuxin, Harith, Franco","Fanny, Uranus, Yi Sun-Shin, Helcurt 2024, Granger 2024","Lapu-Lapu, Lancelot 2021, Kimmy 2025, Wanwan 2025, Hylos"
60,2,Alter Ego,RRQ Hoshi,Alter Ego,"Chip, Selena, Baxia, Hylos, Gatotkaca","Phoveus 2024, Lancelot 2021, Kimmy 2025, Cici, Hilda","Fanny, Uranus, Zhuxin, Kalea, Grock 2025","Arlott, Yi Sun-Shin, Yve 2024, Granger 2024, Tigreal"
61,1,Bigetron by Vitality,ONIC,Bigetron by Vitality,"Angela 2024 v2, Arlott, Lancelot 2021, Gatotkaca, Wanwan 2025","Alice 2025, Hayabusa 2021, Lunox, Cici, Kalea","Uranus, Hilda, Fanny, Esmeralda, Kimmy 2025","Phoveus 2024, Yi Sun-Shin, Zhuxin, Harith, Hylos"
61,2,Bigetron by Vitality,ONIC,Bigetron by Vitality,"Cici, Alice 2025, Zhuxin, Uranus, Ruby","Hilda, Yi Sun-Shin, Lunox, Chou, Kalea","Arlott, Lancelot 2021, Angela 2024 v2, Wanwan 2025, Phoveus 2024","Lapu-Lapu, Fanny, Kimmy 2025, Granger 2024, Baxia"
62,1,RRQ Hoshi,Dewa United Esports,RRQ Hoshi,"Fanny, Arlott, Kalea, Granger 2024, Ruby","Cici, Fredrinn, Valentina, Wanwan 2025, Franco","Chip, Uranus, Baxia, Zhuxin, Kimmy 2025","Alice 2025, Yi Sun-Shin, Wu Zetian, Lapu-Lapu, Helcurt 2024"
62,2,RRQ Hoshi,Dewa United Esports,RRQ Hoshi,"Fanny, Arlott, Baxia, Uranus, Hilda","Yu Zhong 2024, Hayabusa 2021, Selena, Cici, Gatotkaca","Chip, Fredrinn, Yi Sun-Shin, Zhuxin, Wanwan 2025","Phoveus 2024, Lancelot 2021, Lunox, Granger 2024, Kalea"
63,1,ONIC,EVOS,ONIC,"Uranus, Kalea, Arlott, Granger 2024, Esmeralda","Lapu-Lapu, Hayabusa 2021, Lunox, Cici, Grock 2025","Phoveus 2024, Angela 2024 v2, Baxia, Yve 2024, Kimmy 2025","Hilda, Yi Sun-Shin, Zhuxin, Bane 2021, Chip"
63,2,ONIC,EVOS,ONIC,"Uranus, Kalea, Arlott, Granger 2024, Ruby","Cici, Lancelot 2021, Lunox, Esmeralda, Hilda","Angela 2024 v2, Phoveus 2024, Zhuxin, Lapu-Lapu, Gatotkaca","Alice 2025, Yi Sun-Shin, Pharsa, Obsidia, Grock 2025"
64,1,Natus Vincere,Geek Fam ID,Natus Vincere,"Helcurt 2024, Fanny, Kalea, Chip, Hilda","Arlott, Yi Sun-Shin, Lunox, Ruby, Gatotkaca","Zhuxin, Baxia, Angela 2024 v2, Selena, Harith","Phoveus 2024, Lancelot 2021, Kimmy 2025, Cici, Grock 2025"
64,2,Natus Vincere,Geek Fam ID,Natus Vincere,"Helcurt 2024, Baxia, Fanny, Kalea, Hilda","Alice 2025, Hayabusa 2021, Kimmy 2025, Ruby, Grock 2025","Angela 2024 v2, Yi Sun-Shin, Arlott, Cici, Harith","Gloo 2025, Joy, Zhuxin, Granger 2024, Chou"
65,1,Bigetron by Vitality,Geek Fam ID,Geek Fam ID,"Helcurt 2024, Arlott, Kalea, Ruby, Chou","Yu Zhong 2024, Fanny, Valentina, Granger 2024, Grock 2025","Zhuxin, Baxia, Cici, Alice 2025, Hilda","Phoveus 2024, Yi Sun-Shin, Lunox, Moskov 2023, Khufra"
65,2,Bigetron by Vitality,Geek Fam ID,Geek Fam ID,"Helcurt 2024, Kalea, Lunox, Grock 2025, Khufra","Phoveus 2024, Fanny, Kagura 2021, Wanwan 2025, Chou","Zhuxin, Baxia, Cici, Selena, Kimmy 2025","Arlott, Yi Sun-Shin, Luo Yi, Moskov 2023, Hylos"
66,1,Dewa United Esports,ONIC,ONIC,"Lancelot 2021, Angela 2024 v2, Fanny, Hylos, Grock 2025","Alice 2025, Yi Sun-Shin, Selena, Cici, Gatotkaca","Helcurt 2024, Baxia, Kalea, Lunox, Kimmy 2025","Arlott, Hayabusa 2021, Zhuxin, Esmeralda, Badang"
66,2,Dewa United Esports,ONIC,ONIC,"Lancelot 2021, Angela 2024 v2, Fanny, Hylos, Grock 2025","Arlott, Fredrinn, Lunox, Claude 2024, Ruby","Helcurt 2024, Baxia, Cici, Kalea, Kaja","Yu Zhong 2024, Hayabusa 2021, Yve 2024, Bane 2021, Gatotkaca"
67,1,EVOS,Natus Vincere,EVOS,"Arlott, Kimmy 2025, Fanny, Wanwan 2025, Phoveus 2024","Lapu-Lapu, X.Borg 2023, Lunox, Granger 2024, Grock 2025","Uranus, Kalea, Cici, Yi Sun-Shin, Lancelot 2021","Esmeralda, Baxia, Zhuxin, Bruno 2023, Khaleed"
67,2,EVOS,Natus Vincere,EVOS,"Esmeralda, Arlott, Kimmy 2025, Franco, Chou","Hilda, Fanny, Yve 2024, Lunox, Grock 2025","Uranus, Kalea, Cici, Harith, Gloo 2025","Lapu-Lapu, Baxia, Lylia, Granger 2024, Gatotkaca"
67,3,EVOS,Natus Vincere,EVOS,"Esmeralda, Kalea, Arlott, Ruby, Phoveus 2024","Yu Zhong 2024, Lancelot 2021, Angela 2024 v2, Lapu-Lapu, Grock 2025","Uranus, Baxia, Cici, Hilda, Khaleed","Alice 2025, Yi Sun-Shin, Kimmy 2025, Granger 2024, Gatotkaca"
68,1,Team Liquid ID,RRQ Hoshi,Team Liquid ID,"Selena, Franco, Wanwan 2025, Masha, Lapu-Lapu","Arlott, Baxia, Zhuxin, Claude 2024, Gatotkaca","Angela 2024 v2, Fanny, Cici, Mathilda, Khaleed","Alice 2025, Fredrinn, Kimmy 2025, Granger 2024, Chip"
68,2,Team Liquid ID,RRQ Hoshi,Team Liquid ID,"Selena, Franco, Baxia, Yve 2024, Novaria","Lapu-Lapu, Yi Sun-Shin, Kimmy 2025, Ruby, Kalea","Angela 2024 v2, Fanny, Zhuxin, Uranus, Hilda","Phoveus 2024, Lancelot 2021, Valentina, Cici, Gatotkaca"
69,1,ONIC,Alter Ego,Alter Ego,"Baxia, Cici, Fanny, Alice 2025, Yu Zhong 2024","Arlott, Hayabusa 2021, Angela 2024 v2, Harith, Kalea","Phoveus 2024, Chip, Lancelot 2021, Lunox, Kimmy 2025","Uranus, Yi Sun-Shin, Zhuxin, Ruby, Gatotkaca"
69,2,ONIC,Alter Ego,Alter Ego,"Cici, Baxia, Zhuxin, Kalea, Kaja","Yu Zhong 2024, Hayabusa 2021, Angela 2024 v2, Esmeralda, Ruby","Phoveus 2024, Kimmy 2025, Lancelot 2021, Grock 2025, Gatotkaca","Arlott, Yi Sun-Shin, Lunox, Lapu-Lapu, Hilda"
69,3,ONIC,Alter Ego,Alter Ego,"Uranus, Zhuxin, Kalea, Esmeralda, Lapu-Lapu","Yu Zhong 2024, Ling 2024, Angela 2024 v2, Ruby, Grock 2025","Cici, Lancelot 2021, Baxia, Hayabusa 2021, Joy","Gatotkaca, Yi Sun-Shin, Kimmy 2025, X.Borg 2023, Helcurt 2024"
70,1,Dewa United Esports,EVOS,Dewa United Esports,"Uranus, Angela 2024 v2, Baxia, Lancelot 2021, Yu Zhong 2024","Arlott, Hayabusa 2021, Zhuxin, Cici, Gatotkaca","Fredrinn, Helcurt 2024, Lunox, Esmeralda, Alice 2025","Lapu-Lapu, Yi Sun-Shin, Kimmy 2025, X.Borg 2023, Grock 2025"
70,2,Dewa United Esports,EVOS,Dewa United Esports,"Uranus, Baxia, Cici, Gatotkaca, Hilda","Yu Zhong 2024, Joy, Zhuxin, Wanwan 2025, Grock 2025","Helcurt 2024, Arlott, Fanny, Lunox, Kimmy 2025","Esmeralda, Lancelot 2021, Angela 2024 v2, Claude 2024, Badang"
71,1,Alter Ego,Bigetron by Vitality,Bigetron by Vitality,"Hilda, Chou, Lunox, Esmeralda, Harith","Yu Zhong 2024, Yi Sun-Shin, Zhuxin, Lapu-Lapu, Gatotkaca","Baxia, Wanwan 2025, Cici, Ruby, Uranus","Alice 2025, Hayabusa 2021, Kimmy 2025, X.Borg 2023, Kalea"
71,2,Alter Ego,Bigetron by Vitality,Bigetron by Vitality,"Hilda, Chou, Lunox, Kimmy 2025, Ruby","Alice 2025, Lancelot 2021, Zhuxin, Brody 2024, Khaleed","Baxia, Wanwan 2025, Cici, X.Borg 2023, Helcurt 2024","Uranus, Yi Sun-Shin, Yve 2024, Esmeralda, Gatotkaca"
